"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV2000","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV2001","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Achroiostachys","s__betulicola"
"ESV2003","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","s__pullulans"
"ESV2004","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__paraflava"
"ESV2006","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","s__foliicola"
"ESV2007","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2008","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2009","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__canadensis"
"ESV2011","k__Fungi","p__Mucoromycota","c__Mucoromycotina_cls_Incertae_sedis","o__Mucoromycotina_ord_Incertae_sedis","f__Mucoromycotina_fam_Incertae_sedis","g__Bifiguratus","s__adelaidae"
"ESV2012","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2013","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Arnium",NA
"ESV2014","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2016","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudogymnoascus","s__roseus"
"ESV2017","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis","s__icarus"
"ESV2019","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV2020","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales",NA,NA,NA
"ESV2021","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2022","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__verticillata"
"ESV2024","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ESV2025","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"ESV2027","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ESV2029","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ESV2030","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","g__Arthrinium",NA
"ESV2031","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ESV2032","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__cavaraeanum"
"ESV2033","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__ninguis"
