"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"161" "ESV161" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
"162" "ESV162" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"163" "ESV163" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ramlibacter"
"164" "ESV164" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Piscinibacter"
"165" "ESV165" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"166" "ESV166" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"167" "ESV167" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
"168" "ESV168" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"169" "ESV169" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"170" "ESV170" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium"
"171" "ESV171" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"172" "ESV172" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"173" "ESV173" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"174" "ESV174" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"175" "ESV175" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"176" "ESV176" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"177" "ESV177" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"178" "ESV178" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Nitrobacter"
"179" "ESV179" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"180" "ESV180" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"181" "ESV181" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"182" "ESV182" "Bacteria" "Proteobacteria" "Betaproteobacteria" "B1-7BS" NA NA
"183" "ESV183" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter"
"184" "ESV184" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" NA
"185" "ESV185" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"186" "ESV186" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"187" "ESV187" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas"
"188" "ESV188" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" NA
"189" "ESV189" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"190" "ESV190" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"191" "ESV191" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"192" "ESV192" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
